project_id,project_name,treatment,site,burn_name,burn_year,ecoregion_name_l2,latitude,longitude,accuracy_horizontal,elevation,accuracy_vertical,slope,aspect,moisture,stand_density,stand_basal_area,prop_black_spruce,stand_age,stand_origin,ag_biomass_prefire,ag_c_prefire,ag_biomass_combusted,ag_c_combusted,prefire_sol,mean_residual_org_layer_depth,burn_depth,prop_sol_combusted,residual_sol_c,bg_c_prefire,bg_c_combusted,prop_sol_c_combusted,total_c_pool_prefire,prop_prefire_bg_c,total_c_combusted,prop_total_bg_c_combusted,prop_total_prefire_c_combusted,dob,precipitation,temperature,relative_humidity,wind_speed,drought_code,drought_moisture_code,fine_fuel_moisture_code,initial_spread_index,buildup_index,fire_weather_index,daily_severity_rank
NWT_BCKE.sf.1,NWT_BCKE,burn,Jan-94,NA,1994,Taiga Plains,61.5271,-117.2279,-9999,-9999,-9999,-9999,-9999,6,0,0,-9999,-9999,fire,0,0,0,0,-9999,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NWT_BCKE.sf.2,NWT_BCKE,burn,Jan-94,1994,1994,Taiga Plains,61.5272,-117.2282,-9999,-9999,-9999,-9999,-9999,6,0,0,-9999,-9999,fire,0,0,0,0,-9999,75,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NWT_BCKE.sf.3,NWT_BCKE,burn,Jan-94,1994,1994,Taiga Plains,61.5273,-117.2284,-9999,-9999,-9999,-9999,-9999,6,0,0,-9999,-9999,fire,0,0,0,0,-9999,57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NWT_BCKE.sf.4,NWT_BCKE,burn,Jan-94,1994,1994,Taiga Plains,61.527,-117.2288,-9999,-9999,-9999,-9999,-9999,6,0,0,-9999,-9999,fire,0,0,0,0,-9999,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NWT_BCKE.sf.5,NWT_BCKE,burn,Jan-94,1994,1994,Taiga Plains,61.5271,-117.229,-9999,-9999,-9999,-9999,-9999,6,0,0,-9999,-9999,fire,0,0,0,0,-9999,71,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NWT_BCKE.sf.6,NWT_BCKE,burn,Jan-94,1994,1994,Taiga Plains,61.5274,-117.229,-9999,-9999,-9999,-9999,-9999,6,0,0,-9999,-9999,fire,0,0,0,0,-9999,62,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NWT_BCKE.sf.10,NWT_BCKE,burn,Jan-96,1996,1996,Taiga Plains,60.6023,-116.2651,-9999,-9999,-9999,-9999,-9999,6,0,0,-9999,-9999,fire,0,0,0,0,-9999,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NWT_BCKE.sf.7,NWT_BCKE,burn,Jan-96,NA,1996,Taiga Plains,60.6028,-116.2657,-9999,-9999,-9999,-9999,-9999,5,0,0,-9999,-9999,fire,0,0,0,0,-9999,74,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NWT_BCKE.sf.8,NWT_BCKE,burn,Jan-96,1996,1996,Taiga Plains,60.6026,-116.2655,-9999,-9999,-9999,-9999,-9999,5,0,0,-9999,-9999,fire,0,0,0,0,-9999,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NWT_BCKE.sf.9,NWT_BCKE,burn,Jan-96,1996,1996,Taiga Plains,60.6025,-116.2652,-9999,-9999,-9999,-9999,-9999,5,0,0,-9999,-9999,fire,0,0,0,0,-9999,15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
